DATE,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
13-04-2020,188.85,183.1,183.55,2181525,19192
09-04-2020,190,183.75,187.7,2979988,20978
08-04-2020,194.5,180.8,182.9,3804368,30936
07-04-2020,187.2,177.65,186.35,3608366,29253
03-04-2020,188,175,175.55,3410477,36340
01-04-2020,195.5,185.3,186.6,2480900,25140
31-03-2020,198.5,188.1,196.95,2918556,23686
30-03-2020,195,185.5,186.95,2419781,29335
27-03-2020,211.65,195,196.05,6482084,56387
26-03-2020,201,185.2,192.85,6049159,44469
25-03-2020,195.2,176.4,189.95,3639108,36064
24-03-2020,192.5,173.6,183.35,4545274,37182
23-03-2020,200,180.35,181.6,3925056,53488
20-03-2020,215.6,200.1,209.65,3928083,39954
19-03-2020,219.45,198.2,203.85,6592083,51923
18-03-2020,223.8,200.1,214.65,5171714,40031
17-03-2020,229.8,212.25,214.9,3410327,29016
16-03-2020,231.35,220.65,223.25,3538109,35248
13-03-2020,248.95,184.25,242.25,7737989,65054
12-03-2020,232.7,208.8,212.75,4797165,45300
11-03-2020,258.45,243.1,245.2,4067938,36167
09-03-2020,262.55,251.2,253.7,3099067,34569
06-03-2020,274.35,257.35,270.45,3269295,31820
05-03-2020,298.25,270.1,288.3,5616795,44037
04-03-2020,293,275.05,285.3,2709893,25422
03-03-2020,294.3,285.3,289.85,2193574,22505
02-03-2020,311.95,284.05,287.45,3256537,30658
28-02-2020,314.7,301.2,302.9,2380015,25773
27-02-2020,330,318.05,321.95,1439722,15837
26-02-2020,330.7,324.35,328.25,1431670,14348
25-02-2020,328,322.2,326.6,1294432,15108
24-02-2020,331.2,321.95,322.9,1582310,18064
20-02-2020,329,318.95,327.65,1449011,15457
19-02-2020,323.95,317.3,320.25,1272350,14287
18-02-2020,319,309.5,317.6,1471316,14629
17-02-2020,321.4,311.65,314.2,1315256,13496
14-02-2020,331.9,318.5,319.55,1744424,17566
13-02-2020,330.85,321.6,327.45,1971534,17086
12-02-2020,330,319.25,320,1330547,12304
11-02-2020,325.7,320.9,324.35,884500,9842
10-02-2020,322.8,316.75,318.5,863942,10318
07-02-2020,325,318.3,320.5,1414872,12157
06-02-2020,323.6,310.25,322,2423666,20842
05-02-2020,313.5,304.8,310.95,1183560,11639
04-02-2020,307.35,297.2,306.25,1867236,18787
03-02-2020,306.7,295.5,298,1857988,20959
01-02-2020,322.65,296.5,303.15,2782488,32711
31-01-2020,321.6,308.7,318.55,3580409,32206
30-01-2020,317.8,305.7,310.7,1328763,17468
29-01-2020,319.7,315.7,316.4,738045,7760
28-01-2020,320.05,311.1,314.85,937023,9948
27-01-2020,321.9,315.75,316.2,838880,9158
24-01-2020,327.3,321.25,324.05,782798,9308
23-01-2020,324.75,314.2,323.25,1434352,13089
22-01-2020,317.4,313.7,316.1,851872,8767
21-01-2020,316.8,312.1,313.65,2880532,11973
20-01-2020,321.45,313.45,313.95,977739,12264
17-01-2020,323.5,310.65,318,1713459,17774
16-01-2020,326.8,322.35,323.25,893525,11071
15-01-2020,329.65,322.4,324.2,918098,11855
14-01-2020,331.75,326.5,327.9,742279,9566
13-01-2020,335.25,328.85,330.6,948922,12818
10-01-2020,337.75,328.25,332.25,1463797,17365
09-01-2020,331.3,325,330.25,1392636,15280
08-01-2020,321.4,311,319.85,1603305,16221
07-01-2020,327,315.55,318.25,1798194,21754
06-01-2020,332,317.9,318.95,1422311,20595
03-01-2020,338,332.1,333.75,761014,9260
02-01-2020,339.85,333.4,339.3,882070,8735
01-01-2020,335.85,332.25,334.35,616224,7187
31-12-2019,336.3,332.6,333.7,744106,8996
30-12-2019,337.9,332.45,334.25,860732,9693
27-12-2019,338.3,333.05,337.25,1249101,15495
26-12-2019,333.2,328.05,329.85,660165,9691
24-12-2019,334.2,329.25,331.3,750326,8877
23-12-2019,338.7,330.4,332.35,965584,12413
20-12-2019,339.55,328,337.85,1665792,24570
19-12-2019,329.55,324.65,328.15,920858,12070
18-12-2019,335.5,325.9,326.9,1025655,12739
17-12-2019,335.65,330.75,332.85,1000883,15919
16-12-2019,337.3,330.9,331.8,1506398,19129
13-12-2019,333.55,324.85,332.7,1901460,20117
12-12-2019,322.8,313.8,321.8,1340601,16062
11-12-2019,315.6,308.1,312.7,2236411,21145
10-12-2019,322.5,312.3,313.45,2023582,24230
09-12-2019,327.5,314.8,316.75,2600500,25641
06-12-2019,338.5,318,319.8,1895826,27312
04-12-2019,342.95,331.9,341.9,1135521,15338
03-12-2019,342.75,333.5,336.2,1004987,11460
02-12-2019,344.05,336.2,338.55,957734,9036
29-11-2019,348.8,340.7,341.85,1626267,10647
28-11-2019,351,344.5,348.95,1856999,18189
27-11-2019,345.45,334,343.6,1403398,13552
26-11-2019,340,332.55,335.45,1207480,12101
25-11-2019,337,328.5,336.1,1065570,11814
22-11-2019,333.7,328.45,329.15,1002554,8636
21-11-2019,333,326.65,331.35,1319148,12484
20-11-2019,332.75,325.1,328.7,1228683,13975
19-11-2019,331.75,322.2,330.3,1498918,13662
18-11-2019,329.75,323.95,325.2,2005080,14455
15-11-2019,323.5,310,322,4298460,29881
14-11-2019,309.35,299.85,306.1,1265090,9893
13-11-2019,318.5,305.6,306.55,1185213,13444
11-11-2019,319.25,313.3,318.3,886219,8631
08-11-2019,321,314.85,315.85,1052289,11002
07-11-2019,323.3,316.6,318.15,1389521,13562
06-11-2019,319.2,314,317.55,1673285,13178
05-11-2019,322,312.75,319.2,2324932,17877
04-11-2019,319,312.6,314.2,1708410,13253
01-11-2019,315.1,308.7,313.5,2137459,15412
31-10-2019,318,292.6,312.25,6166973,41042
30-10-2019,291,279.25,289.95,2252804,18313
