Date,Symbol,Series,PrevClose,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,DeliverableVolume,Deliverble
23-11-2007,KOTAKBANK,EQ,1118.1,1082.7,1160,1082.7,1130,1125.05,1128.22,669808,7.55691E+13,,305966,0.4568
26-11-2007,KOTAKBANK,EQ,1125.05,1150,1174,1129.1,1133.05,1142.65,1141.81,417174,4.76334E+13,,269810,0.6468
27-11-2007,KOTAKBANK,EQ,1142.65,1130,1149.8,1112,1125.6,1124.65,1123.55,359329,4.03723E+13,,235087,0.6542
28-11-2007,KOTAKBANK,EQ,1124.65,1085.15,1167,1085.15,1105,1109.4,1139.34,556308,6.33822E+13,,311062,0.5592
29-11-2007,KOTAKBANK,EQ,1109.4,1209.8,1209.8,1117.8,1121,1123.5,1129.38,617392,6.9727E+13,,396465,0.6422
30-11-2007,KOTAKBANK,EQ,1123.5,1140,1248,1126,1243.05,1233.5,1207.32,1188042,1.43435E+14,,458352,0.3858
03-12-2007,KOTAKBANK,EQ,1233.5,1248,1274,1206.25,1256,1249.05,1254.15,587481,7.36791E+13,,234514,0.3992
04-12-2007,KOTAKBANK,EQ,1249.05,1254,1277,1211.25,1268.8,1269.05,1262.53,525021,6.62856E+13,,269542,0.5134
05-12-2007,KOTAKBANK,EQ,1269.05,1275,1311,1272.05,1307.9,1305.05,1291.68,486078,6.27856E+13,,187915,0.3866
06-12-2007,KOTAKBANK,EQ,1305.05,1310,1330,1295.2,1308,1305.95,1308.33,372437,4.8727E+13,,186461,0.5007
07-12-2007,KOTAKBANK,EQ,1305.95,1310,1315,1254,1286,1294.35,1274.05,646004,8.23043E+13,,261407,0.4047
10-12-2007,KOTAKBANK,EQ,1294.35,1335.8,1335.8,1241,1313,1309.8,1296.81,1077122,1.39682E+14,,833447,0.7738
11-12-2007,KOTAKBANK,EQ,1309.8,1399,1399,1308.05,1317,1318.1,1320.12,387717,5.11833E+13,,181589,0.4684
12-12-2007,KOTAKBANK,EQ,1318.1,1300,1324.8,1297,1310,1311.7,1310.99,666394,8.73633E+13,,315441,0.4734
13-12-2007,KOTAKBANK,EQ,1311.7,1315,1325.85,1282,1300,1300.5,1310.52,422126,5.53204E+13,,204690,0.4849
14-12-2007,KOTAKBANK,EQ,1300.5,1251.65,1308.7,1251.65,1262,1263.55,1283.47,450580,5.78306E+13,,242534,0.5383
17-12-2007,KOTAKBANK,EQ,1263.55,1301.8,1301.8,1140.25,1185,1162,1201.06,645434,7.75206E+13,,381778,0.5915
18-12-2007,KOTAKBANK,EQ,1162,1155.35,1245,1112,1151.1,1144,1145.22,598607,6.85539E+13,,297455,0.4969
19-12-2007,KOTAKBANK,EQ,1144,1189,1189.85,1090,1140,1123.8,1140.29,844984,9.63528E+13,,485026,0.574
20-12-2007,KOTAKBANK,EQ,1123.8,1150,1178,1124.1,1165,1164.35,1161.21,757623,8.79757E+13,,349371,0.4611
24-12-2007,KOTAKBANK,EQ,1164.35,1170,1204,1161.9,1197,1195.85,1177.37,578304,6.8088E+13,,359596,0.6218
26-12-2007,KOTAKBANK,EQ,1195.85,1200,1260,1199,1256,1255.35,1235.54,322031,3.97883E+13,,133011,0.413
27-12-2007,KOTAKBANK,EQ,1255.35,1260,1295.95,1231.15,1242,1239.85,1248.25,552503,6.8966E+13,,305071,0.5522
28-12-2007,KOTAKBANK,EQ,1239.85,1250,1301,1220.95,1284,1291.3,1270.91,478346,6.07936E+13,,159672,0.3338
31-12-2007,KOTAKBANK,EQ,1291.3,1339.8,1339.8,1261,1300,1296.6,1291.35,322451,4.16396E+13,,125156,0.3881
01-01-2008,KOTAKBANK,EQ,1296.6,1350,1350,1275,1285,1290.9,1292.58,210980,2.72708E+13,,69719,0.3305
02-01-2008,KOTAKBANK,EQ,1290.9,1315,1405,1286.1,1384,1396.75,1359.32,764443,1.03912E+14,,207093,0.2709
03-01-2008,KOTAKBANK,EQ,1396.75,1409,1409,1338,1356.95,1347.25,1363.99,549662,7.49731E+13,,276215,0.5025
04-01-2008,KOTAKBANK,EQ,1347.25,1355,1398,1355,1372,1378.5,1376.12,413789,5.69422E+13,,212243,0.5129
07-01-2008,KOTAKBANK,EQ,1378.5,1350,1438,1323.1,1391,1387.4,1393.41,605739,8.44043E+13,,216429,0.3573
08-01-2008,KOTAKBANK,EQ,1387.4,1403.5,1404.9,1291.4,1330.15,1328.15,1346.48,524820,7.06659E+13,,213980,0.4077
09-01-2008,KOTAKBANK,EQ,1328.15,1276.2,1341.5,1276.2,1297,1297.3,1312.39,672411,8.82464E+13,,305662,0.4546
10-01-2008,KOTAKBANK,EQ,1297.3,1304.9,1338.7,1245,1247.55,1252.55,1301.58,757188,9.85542E+13,,306090,0.4042
11-01-2008,KOTAKBANK,EQ,1252.55,1232,1265,1196.05,1232.2,1233.65,1227.16,1192499,1.46339E+14,,587152,0.4924
